Fileid,a,aa,aaə,ae,ahi,ai,aik,aikk,as,ati,jae,oa,ua
01a,0.15873,0.0,0.0,0.730159,0.0,0.0529101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01b,0.0897959,0.0,0.0,0.853061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02a,0.0,0.299419,0.0,0.0,0.0,0.665698,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02b,0.0,0.432802,0.0,0.0,0.0,0.514806,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03a,0.12,0.0763636,0.0,0.0,0.0,0.712727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03b,0.0,0.0,0.0,0.0,0.0,0.846743,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04a,0.0957854,0.0,0.0,0.0,0.0,0.758621,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04b,0.158568,0.0,0.0,0.0,0.0,0.790281,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05a,0.0,0.248768,0.0,0.0,0.0,0.689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05b,0.0599251,0.071161,0.0,0.0,0.0,0.76779,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06a,0.0740741,0.0,0.0,0.0,0.0,0.871605,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06b,0.0,0.0,0.0,0.0,0.0,0.915129,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07a,0.0559006,0.0869565,0.0,0.0,0.0,0.832298,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07b,0.0932836,0.130597,0.0,0.0,0.0,0.764925,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08a,0.0676157,0.0,0.0,0.0604982,0.0,0.758007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08b,0.0,0.0,0.0,0.110672,0.0,0.747036,0.0,0.0,0.0,0.0,0.0,0.0,0.0
